Gene_ID,Gene,Immature_Ery
ENSGALG00010007948.1,ENSGALG00010007948.1,0
ENSGALG00010007949.1,ENSGALG00010007949.1,0
ENSGALG00010007950.1,ARC,0
ENSGALG00010007951.1,TGFBR1,29
ENSGALG00010007952.1,EMC2,0
ENSGALG00010007953.1,SCGN,0
ENSGALG00010007954.1,PSCA,0
ENSGALG00010007955.1,TMA16,7
ENSGALG00010007956.1,HS1BP3,0
ENSGALG00010007957.1,CDH15,0
ENSGALG00010007958.1,ENSGALG00010007958.1,0
ENSGALG00010007959.1,ENSGALG00010007959.1,0
ENSGALG00010007960.1,TSNAX,0
ENSGALG00010007961.1,ENSGALG00010007961.1,0.333
ENSGALG00010007962.1,ADCY8,3
ENSGALG00010007963.1,LDAH,33
ENSGALG00010007964.1,RECQL4,11
ENSGALG00010007965.1,EGLN1,151
ENSGALG00010007966.1,TMEM74,0
ENSGALG00010007967.1,ENSGALG00010007967.1,0
ENSGALG00010007968.1,SLC22A31,1
ENSGALG00010007969.1,ENSGALG00010007969.1,0
ENSGALG00010007970.1,SPRTN,130
ENSGALG00010007972.1,EXOC8,357
ENSGALG00010007973.1,CARMIL1,1
ENSGALG00010007974.1,ENSGALG00010007974.1,0
ENSGALG00010007975.1,ANKRD11,440
ENSGALG00010007976.1,ENSGALG00010007976.1,11
ENSGALG00010007977.1,APOB,6
ENSGALG00010007978.1,JADE1,685
ENSGALG00010007979.1,RAB30,0
ENSGALG00010007980.1,MARCHF1,0
ENSGALG00010007981.1,TDRD15,1
ENSGALG00010007982.1,RECK,6
ENSGALG00010007983.1,RCHY1,135
ENSGALG00010007984.1,EIF3H,64
ENSGALG00010007985.1,APELA,0
ENSGALG00010007986.1,MYC,2
ENSGALG00010007987.1,ENSGALG00010007987.1,75
ENSGALG00010007988.1,TARBP1,5
ENSGALG00010007989.1,SPG7,105
ENSGALG00010007990.1,TRHR,0
ENSGALG00010007991.1,PCF11,995
ENSGALG00010007992.1,LAPTM4A,43
ENSGALG00010007993.1,LRRC14,41
ENSGALG00010007994.1,FAM65B,5
ENSGALG00010007995.1,KIAA0319,0
ENSGALG00010007996.1,NUDCD1,22
ENSGALG00010007997.1,TMEM192,0
ENSGALG00010007998.1,RPL13,130
ENSGALG00010007999.1,SDC1,3
ENSGALG00010008000.1,C8orf82,2
ENSGALG00010008001.1,ALDH5A1,20
ENSGALG00010008002.1,GJA8,0
ENSGALG00010008003.1,ENSGALG00010008003.1,0
ENSGALG00010008004.1,ENY2,5.018
ENSGALG00010008005.1,ANKRD42,0
ENSGALG00010008006.1,CPNE7,14
ENSGALG00010008007.1,CBR4,0
ENSGALG00010008008.1,BTC,65
ENSGALG00010008009.1,GPLD1,0
ENSGALG00010008010.1,CERK,0
ENSGALG00010008011.1,ADNP2,15
ENSGALG00010008012.1,CCDC90B,1
ENSGALG00010008013.1,ENSGALG00010008013.1,4
ENSGALG00010008014.1,ENSGALG00010008014.1,0
ENSGALG00010008015.1,ARHGAP39,0
ENSGALG00010008016.1,GSR,179
ENSGALG00010008017.1,GMNN,0
ENSGALG00010008018.1,ENSGALG00010008018.1,28.962
ENSGALG00010008019.1,PPP2CB,64
ENSGALG00010008020.1,COA6,2
ENSGALG00010008021.1,ENSGALG00010008021.1,0
ENSGALG00010008022.1,SLC35F3,0
ENSGALG00010008023.1,ATAD2,42
ENSGALG00010008024.1,MRS2,5
ENSGALG00010008025.1,TBC1D22A,2
ENSGALG00010008026.1,PURG,14
ENSGALG00010008027.1,C6orf62,125
ENSGALG00010008028.1,KCNK1,0
ENSGALG00010008029.1,LY6E,0
ENSGALG00010008030.1,GJA5,0
ENSGALG00010008031.1,MAP3K21,0
ENSGALG00010008032.1,PUM2,246
ENSGALG00010008033.1,ACOT13,10.933
ENSGALG00010008034.1,DPEP1,13
ENSGALG00010008035.1,TDP2,1.067
ENSGALG00010008036.1,SPOCK3,0
ENSGALG00010008037.1,ENSGALG00010008037.1,0
ENSGALG00010008038.1,WRN,68
ENSGALG00010008039.1,CHMP1A,159
ENSGALG00010008040.1,ENSGALG00010008040.1,5.608
ENSGALG00010008041.1,ENSGALG00010008041.1,0
ENSGALG00010008042.1,ENSGALG00010008042.1,2
ENSGALG00010008043.1,IL17REL,0
ENSGALG00010008045.1,DCDC2,0
ENSGALG00010008046.1,RHOB,24
ENSGALG00010008047.1,ASAP1,1
ENSGALG00010008048.1,ENSGALG00010008048.1,0
ENSGALG00010008049.1,ANXA10,0
ENSGALG00010008050.1,CDK10,52
ENSGALG00010008051.1,ENSGALG00010008051.1,118
ENSGALG00010008052.1,RBFA,0
ENSGALG00010008053.1,ENSGALG00010008053.1,0
ENSGALG00010008054.1,CRISP3,1
ENSGALG00010008055.1,MLC1,0
ENSGALG00010008056.1,GTF2E2,6
ENSGALG00010008057.1,BAG1,4
ENSGALG00010008058.1,USP25,11
ENSGALG00010008059.1,ENSGALG00010008059.1,78
ENSGALG00010008060.1,ENSGALG00010008060.1,0
ENSGALG00010008061.1,CRISP2,0
ENSGALG00010008062.1,VPS9D1,11
ENSGALG00010008063.1,KCNV1,0
ENSGALG00010008064.1,DDX60,7
ENSGALG00010008065.1,CHMP5,32
ENSGALG00010008066.1,PCNX2,0
ENSGALG00010008067.1,MPC2,8
ENSGALG00010008068.1,ENSGALG00010008068.1,3.864
ENSGALG00010008069.1,DLG2,3
ENSGALG00010008070.1,ENSGALG00010008070.1,0
ENSGALG00010008071.1,SMIM18,0
ENSGALG00010008072.1,NRSN1,0
ENSGALG00010008073.1,ZNF276,94
ENSGALG00010008074.1,RHAG,1033
ENSGALG00010008075.1,SDHA,55
ENSGALG00010008076.1,ENSGALG00010008076.1,0
ENSGALG00010008077.1,ENSGALG00010008077.1,0
ENSGALG00010008078.1,GUCY1B1,0
ENSGALG00010008079.1,CCDC127,6
ENSGALG00010008080.1,ENSGALG00010008080.1,0
ENSGALG00010008081.1,TOP1MT,0
ENSGALG00010008082.1,PRL,0
ENSGALG00010008083.1,FANCA,7
ENSGALG00010008084.1,CYP2AC1,72.508
ENSGALG00010008085.1,ENSGALG00010008085.1,0
ENSGALG00010008086.1,RHPN1,2
ENSGALG00010008087.1,CPNE8,0
ENSGALG00010008088.1,SLC35A4,93
ENSGALG00010008090.1,SLC6A18,0
ENSGALG00010008091.1,ENSGALG00010008091.1,0
ENSGALG00010008092.1,SPIRE2,0
ENSGALG00010008093.1,EFR3A,45
ENSGALG00010008094.1,PIM3,225
ENSGALG00010008095.1,ENSGALG00010008095.1,43
ENSGALG00010008096.1,CPSF1,12
ENSGALG00010008097.1,ENSGALG00010008097.1,0
ENSGALG00010008098.1,ENSGALG00010008098.1,0
ENSGALG00010008099.1,PANK3,5
ENSGALG00010008100.1,ENSGALG00010008100.1,0
ENSGALG00010008101.1,CENPQ,0
ENSGALG00010008102.1,CCDC89,0
ENSGALG00010008103.1,RBPMS,12
ENSGALG00010008104.1,TCF25,252
ENSGALG00010008105.1,MMUT,33
ENSGALG00010008106.1,ENSGALG00010008106.1,0
ENSGALG00010008107.1,TUBB3,70.431
ENSGALG00010008108.1,ENSGALG00010008108.1,6
ENSGALG00010008109.1,OPN5L2,0
ENSGALG00010008110.1,DEF8,57
ENSGALG00010008111.1,SYTL2,0
ENSGALG00010008112.1,ENSGALG00010008112.1,120
ENSGALG00010008113.1,DBNDD1,53
ENSGALG00010008114.1,ENSGALG00010008114.1,0
ENSGALG00010008115.1,ENSGALG00010008115.1,118.029
ENSGALG00010008116.1,URAH,183
ENSGALG00010008117.1,ENSGALG00010008117.1,2
ENSGALG00010008118.1,ENSGALG00010008118.1,128
ENSGALG00010008119.1,CCDC83,0
ENSGALG00010008120.1,CDC5L,171
ENSGALG00010008121.1,MPZL1,7
ENSGALG00010008122.1,ENSGALG00010008122.1,0
ENSGALG00010008123.1,ENSGALG00010008123.1,0
ENSGALG00010008124.1,ENSGALG00010008124.1,9
ENSGALG00010008125.1,ENSGALG00010008125.1,0
ENSGALG00010008126.1,CDH3,133.784
ENSGALG00010008127.1,TBC1D2,5
ENSGALG00010008128.1,RARS,56
ENSGALG00010008129.1,TANGO6,214
ENSGALG00010008130.1,RCSD1,2
ENSGALG00010008131.1,OC90,0
ENSGALG00010008132.1,TDO2,0
ENSGALG00010008133.1,CREG1,365
ENSGALG00010008134.1,SLC2A13,1
ENSGALG00010008135.1,WWC1,1
ENSGALG00010008136.1,ELP1,27
ENSGALG00010008137.1,HHLA1,0
ENSGALG00010008138.1,ENSGALG00010008138.1,0
ENSGALG00010008139.1,ENSGALG00010008139.1,0
ENSGALG00010008140.1,ASIC5,0
ENSGALG00010008141.1,APTX,5
ENSGALG00010008142.1,CD247,43
ENSGALG00010008143.1,DCTN6,54
ENSGALG00010008144.1,NTPCR,0
ENSGALG00010008145.1,ENSGALG00010008145.1,0
ENSGALG00010008146.1,SOX4,1
ENSGALG00010008147.1,CDKAL1,49
ENSGALG00010008148.1,ABCD2,11
ENSGALG00010008149.1,DNAJA1,328
ENSGALG00010008150.1,TERT,1
ENSGALG00010008151.1,SIPA1L2,0
ENSGALG00010008152.1,ENSGALG00010008152.1,23
ENSGALG00010008153.1,SMU1,69
ENSGALG00010008154.1,KCNQ3,0
ENSGALG00010008155.1,MAP10,1
ENSGALG00010008156.1,HAS3,37
ENSGALG00010008157.1,CTSO,0
ENSGALG00010008158.1,CLPTM1L,15
ENSGALG00010008159.1,SUPT3H,0
ENSGALG00010008160.1,TXNL4A,17
ENSGALG00010008161.1,TMEFF1,0
ENSGALG00010008162.1,HSBP1L1,0
ENSGALG00010008163.1,CHTF8,21
ENSGALG00010008164.1,TG,29
ENSGALG00010008165.1,MRPL1,148
ENSGALG00010008166.1,RUNX2,2
ENSGALG00010008167.1,UTP4,47
ENSGALG00010008168.1,CAVIN4,0
ENSGALG00010008169.1,HTR4,0
ENSGALG00010008170.1,PICALM,6
ENSGALG00010008171.1,KIF21A,0
ENSGALG00010008172.1,SNTB2,34
ENSGALG00010008173.1,ENSGALG00010008173.1,1
ENSGALG00010008174.1,SLC26A2,18
ENSGALG00010008175.1,ENSGALG00010008175.1,0
ENSGALG00010008176.1,SLA,1
ENSGALG00010008177.1,NREP,2
ENSGALG00010008178.1,PGR,0
ENSGALG00010008179.1,SEMA6A,0
ENSGALG00010008180.1,POU2F1,104
ENSGALG00010008181.1,DISC1,1
ENSGALG00010008182.1,CLIC5,1
ENSGALG00010008183.1,ALG10,5.271
ENSGALG00010008184.1,SLC66A2,1
ENSGALG00010008185.1,PDGFC,4
ENSGALG00010008186.1,NOP53,68
ENSGALG00010008187.1,ENSGALG00010008187.1,379
ENSGALG00010008188.1,VPS4A,305
ENSGALG00010008189.1,EXOC3,15
ENSGALG00010008190.1,TSNARE1,0
ENSGALG00010008191.1,ENSGALG00010008191.1,2
ENSGALG00010008192.1,HNRNPU,274
ENSGALG00010008193.1,CNOT6L,332
ENSGALG00010008194.1,PDF,49
ENSGALG00010008195.1,ENSGALG00010008195.1,0
ENSGALG00010008196.1,PDCD6,30
ENSGALG00010008197.1,STARD4,0
ENSGALG00010008198.1,GLRB,0
ENSGALG00010008199.1,TPRKB,1.729
ENSGALG00010008200.1,COG8,511
ENSGALG00010008201.1,ENPP4,0
ENSGALG00010008202.1,KCNG2,0
ENSGALG00010008203.1,CXCL13,20
ENSGALG00010008204.1,ENSGALG00010008204.1,91.309
ENSGALG00010008205.1,ENSGALG00010008205.1,0
ENSGALG00010008206.1,CXCL13L2,4
ENSGALG00010008207.1,CAMK4,0
ENSGALG00010008208.1,ILDR2,2
ENSGALG00010008209.1,PPARGC1B,3
ENSGALG00010008210.1,CTDP1,48
ENSGALG00010008211.1,ADGRB1,0
ENSGALG00010008212.1,GTSE1,3
ENSGALG00010008213.1,ISCA1,247
ENSGALG00010008214.1,CCNG2,134
ENSGALG00010008215.1,SELENOW,5
ENSGALG00010008216.1,GPA33,1
ENSGALG00010008217.1,ARHGEF37,3
ENSGALG00010008218.1,ARHGAP42,0
ENSGALG00010008219.1,NIP7,9
ENSGALG00010008220.1,ENSGALG00010008220.1,15
ENSGALG00010008221.1,ENSGALG00010008221.1,161
ENSGALG00010008222.1,STYXL2,0
ENSGALG00010008223.1,ENSGALG00010008223.1,0
ENSGALG00010008224.1,ENSGALG00010008224.1,12.169
ENSGALG00010008225.1,ENSGALG00010008225.1,145
ENSGALG00010008226.1,COX20,0
ENSGALG00010008227.1,DUSP1,112
ENSGALG00010008228.1,TMED6,5
ENSGALG00010008229.1,PIGY,8
ENSGALG00010008230.1,TRMU,0
ENSGALG00010008231.1,ZCCHC6,34
ENSGALG00010008232.1,PYURF,15
ENSGALG00010008233.1,CYRIB,11
ENSGALG00010008234.1,COMMD10,16
ENSGALG00010008235.1,MAEL,0
ENSGALG00010008236.1,ENSGALG00010008236.1,0
ENSGALG00010008237.1,GRIA2,0
ENSGALG00010008238.1,NTAQ1,1
ENSGALG00010008239.1,ENSGALG00010008239.1,0
ENSGALG00010008240.1,RCAN2,0
ENSGALG00010008241.1,HERC3,107
ENSGALG00010008242.1,CNTN5,0
ENSGALG00010008243.1,YTHDC2,101
ENSGALG00010008244.1,ENSGALG00010008244.1,0
ENSGALG00010008245.1,FBXO32,264
ENSGALG00010008246.1,TERF2,20
ENSGALG00010008247.1,GASK1B,0
ENSGALG00010008248.1,TPK1,6
ENSGALG00010008249.1,ENSGALG00010008249.1,0
ENSGALG00010008250.1,KLHL38,4
ENSGALG00010008251.1,AHRR,0
ENSGALG00010008252.1,ZFP92,0
ENSGALG00010008253.1,ENSGALG00010008253.1,0
ENSGALG00010008254.1,ENSGALG00010008254.1,0
ENSGALG00010008255.1,MSANTD3,0
ENSGALG00010008256.1,ENSGALG00010008256.1,0
ENSGALG00010008257.1,DESI2,1
ENSGALG00010008258.1,CCDC82,91
ENSGALG00010008259.1,MCC,0
ENSGALG00010008260.1,ENSGALG00010008260.1,0
ENSGALG00010008261.1,CRX,0
ENSGALG00010008262.1,CYB5B,16
ENSGALG00010008263.1,C1orf101,0
ENSGALG00010008264.1,CNTNAP2,0
ENSGALG00010008265.1,ENSGALG00010008265.1,0
ENSGALG00010008266.1,ECSCR,0
ENSGALG00010008267.1,MAML2,0
ENSGALG00010008268.1,ENSGALG00010008268.1,0
ENSGALG00010008269.1,ENSGALG00010008269.1,20.04
ENSGALG00010008270.1,ENSGALG00010008270.1,7
ENSGALG00010008271.1,ENSGALG00010008271.1,0
ENSGALG00010008272.1,DCP2,21
ENSGALG00010008273.1,TMEM144,0
ENSGALG00010008274.1,NFAT5,60
ENSGALG00010008275.1,CELSR1,0
ENSGALG00010008276.1,DNAJC18,58
ENSGALG00010008277.1,MZB1,4
ENSGALG00010008278.1,CYP39A1,0
ENSGALG00010008279.1,MAPK15,10
ENSGALG00010008280.1,ENSGALG00010008280.1,0
ENSGALG00010008281.1,ENSGALG00010008281.1,0
ENSGALG00010008282.1,FAM83H,9
ENSGALG00010008283.1,NQO1,6
ENSGALG00010008284.1,BCKDHA,0
ENSGALG00010008285.1,ADSS2,0
ENSGALG00010008286.1,ANXA13,2
ENSGALG00010008287.1,ENSGALG00010008287.1,2
ENSGALG00010008288.1,ENSGALG00010008288.1,15.625
ENSGALG00010008289.1,MTMR2,0
ENSGALG00010008290.1,FAM13A,3
ENSGALG00010008291.1,PTGFRN,3
ENSGALG00010008292.1,REEP5,2
ENSGALG00010008293.1,PLA2G7,7
ENSGALG00010008294.1,NOB1,607
ENSGALG00010008295.1,DMAC2,11
ENSGALG00010008296.1,PALLD,2
ENSGALG00010008297.1,ENSGALG00010008297.1,3.998
ENSGALG00010008298.1,ENSGALG00010008298.1,1
ENSGALG00010008299.1,ANKRD66,0
ENSGALG00010008300.1,CUL1,24
ENSGALG00010008301.1,FAM91A1,26
ENSGALG00010008302.1,ENSGALG00010008302.1,8.463
ENSGALG00010008303.1,TEX10,2
ENSGALG00010008304.1,ENSGALG00010008304.1,0
ENSGALG00010008305.1,SLC23A1,41
ENSGALG00010008306.1,ENSGALG00010008306.1,0
ENSGALG00010008307.1,ENSGALG00010008307.1,0
ENSGALG00010008308.1,WWP2,816
ENSGALG00010008309.1,ENSGALG00010008309.1,3
ENSGALG00010008310.1,EXOSC5,0
ENSGALG00010008311.1,SRP19,0
ENSGALG00010008312.1,ZBTB18,4
ENSGALG00010008313.1,PSMD7,239
ENSGALG00010008314.1,INVS,11
ENSGALG00010008315.1,ENSGALG00010008315.1,0
ENSGALG00010008316.1,ADGRF5,1
ENSGALG00010008317.1,CEP57,387
ENSGALG00010008318.1,ADPRH,15
ENSGALG00010008319.1,ERP44,0
ENSGALG00010008320.1,GPRIN3,0
ENSGALG00010008321.1,ZFHX3,308.199
ENSGALG00010008322.1,ENSGALG00010008322.1,1
ENSGALG00010008323.1,AKT3,0
ENSGALG00010008324.1,SCRIB,379.002
ENSGALG00010008325.1,AADAT,2
ENSGALG00010008327.1,TGFB1,0
ENSGALG00010008328.1,ENSGALG00010008328.1,0
ENSGALG00010008329.1,ENSGALG00010008329.1,1
ENSGALG00010008330.1,EZH2,2.026
ENSGALG00010008331.1,CCDC97,30
ENSGALG00010008332.1,DHX38,261
ENSGALG00010008333.1,APC,0
ENSGALG00010008334.1,STX17,25
ENSGALG00010008335.1,HNRNPUL1,4
ENSGALG00010008336.1,PAIP2B,37
ENSGALG00010008338.1,ENSGALG00010008338.1,0
ENSGALG00010008339.1,FAM76B,10
ENSGALG00010008340.1,PDIA4,19
ENSGALG00010008341.1,DHODH,29
ENSGALG00010008342.1,PLD3,31
ENSGALG00010008343.1,TNFRSF21,0
ENSGALG00010008344.1,MFAP3L,0
ENSGALG00010008346.1,NR4A3,16
ENSGALG00010008347.1,PUF60,283
ENSGALG00010008348.1,ENSGALG00010008348.1,7
ENSGALG00010008349.1,ENSGALG00010008349.1,0
ENSGALG00010008350.1,LRRC6,2
ENSGALG00010008351.1,IST1,212
ENSGALG00010008352.1,ENSGALG00010008352.1,109
ENSGALG00010008354.1,TMEM71,2
ENSGALG00010008355.1,MAFA,4
ENSGALG00010008356.1,ENSGALG00010008356.1,0
ENSGALG00010008357.1,ENSGALG00010008357.1,0
ENSGALG00010008358.1,HPF1,0
ENSGALG00010008359.1,ENSGALG00010008359.1,0
ENSGALG00010008360.1,ZC3H3,308
ENSGALG00010008361.1,MATR3,120
ENSGALG00010008362.1,RAMP3,0
ENSGALG00010008364.1,ENSGALG00010008364.1,0
ENSGALG00010008365.1,ENSGALG00010008365.1,0
ENSGALG00010008366.1,RPRD1A,34
ENSGALG00010008367.1,ENSGALG00010008367.1,8.18
ENSGALG00010008368.1,SNCA,6
ENSGALG00010008372.1,CLCN3,11.001
ENSGALG00010008373.1,MACIR,0
ENSGALG00010008374.1,ZNF821,82
ENSGALG00010008375.1,ENSGALG00010008375.1,6
ENSGALG00010008376.1,MMRN1,0
ENSGALG00010008377.1,AKT2,83
ENSGALG00010008379.1,ENSGALG00010008379.1,8.056
ENSGALG00010008380.1,SIL1,6
ENSGALG00010008381.1,C18orf21,2
ENSGALG00010008382.1,ENSGALG00010008382.1,1
ENSGALG00010008383.1,PLD5,0
ENSGALG00010008385.1,CTNNA1,13
ENSGALG00010008386.1,SESN3,4
ENSGALG00010008387.1,PHF20L1,30
ENSGALG00010008388.1,ADCY1,1
ENSGALG00010008389.1,GALNT1,18
ENSGALG00010008390.1,ENSGALG00010008390.1,0
ENSGALG00010008391.1,ENSGALG00010008391.1,7
ENSGALG00010008392.1,CD36,179
ENSGALG00010008394.1,CD2AP,28
ENSGALG00010008395.1,ENDOD1,0
ENSGALG00010008396.1,LRRTM2,1
ENSGALG00010008397.1,ATXN1L,67
ENSGALG00010008398.1,ENSGALG00010008398.1,0
ENSGALG00010008399.1,INO80C,5
ENSGALG00010008400.1,MAP1LC3C,0
ENSGALG00010008401.1,PSMD8,15
ENSGALG00010008402.1,ENSGALG00010008402.1,3
ENSGALG00010008403.1,GNAT3,8
ENSGALG00010008405.1,LRATD2,0
ENSGALG00010008407.1,GNAI1,0
ENSGALG00010008408.1,SMARCA4,90
ENSGALG00010008409.1,CWC15,239
ENSGALG00010008410.1,NAPRT,59
ENSGALG00010008411.1,ENSGALG00010008411.1,5.462
ENSGALG00010008412.1,NEK1,2
ENSGALG00010008415.1,ENSGALG00010008415.1,0
ENSGALG00010008416.1,MSX2,0
ENSGALG00010008417.1,IGFBP1,0
ENSGALG00010008418.1,TMEM245,0
ENSGALG00010008419.1,ENSGALG00010008419.1,6
ENSGALG00010008420.1,ENSGALG00010008420.1,0
ENSGALG00010008421.1,OPN5,0
ENSGALG00010008422.1,EXO1,0
ENSGALG00010008424.1,PPIP5K2,6
ENSGALG00010008425.1,MAGI2,0
ENSGALG00010008426.1,AP1G1,80
ENSGALG00010008428.1,ENSGALG00010008428.1,17
ENSGALG00010008429.1,IGFBP3,2
ENSGALG00010008430.1,ENSGALG00010008430.1,0
ENSGALG00010008431.1,SH3RF1,0
ENSGALG00010008432.1,ENSGALG00010008432.1,54
ENSGALG00010008433.1,EBAG9,6
ENSGALG00010008434.1,PTCHD4,0
ENSGALG00010008436.1,ENSGALG00010008436.1,22
ENSGALG00010008437.1,SHKBP1,26
ENSGALG00010008438.1,SYBU,4
ENSGALG00010008439.1,ENSGALG00010008439.1,0
ENSGALG00010008440.1,ENSGALG00010008440.1,16.778
ENSGALG00010008441.1,PHLPP2,68
ENSGALG00010008442.1,WDR64,2
ENSGALG00010008443.1,RSFR,1
ENSGALG00010008444.1,SLC7A11,1
ENSGALG00010008445.1,ENSGALG00010008445.1,0
ENSGALG00010008447.1,FRRS1L,0
ENSGALG00010008448.1,TNS3,18
ENSGALG00010008449.1,SRA1,43
ENSGALG00010008450.1,GIN1,0
ENSGALG00010008451.1,OPN3,0
ENSGALG00010008452.1,ENSGALG00010008452.1,0
ENSGALG00010008453.1,AMOTL1,2
ENSGALG00010008455.1,FKBP1B,7
ENSGALG00010008456.1,NHLRC1,1
ENSGALG00010008457.1,MARVELD3,1
ENSGALG00010008458.1,ENSGALG00010008458.1,0
ENSGALG00010008459.1,EPB41L4B,1
ENSGALG00010008464.1,SF3B6,0
ENSGALG00010008465.1,ENSGALG00010008465.1,0
ENSGALG00010008466.1,C11orf97,0
ENSGALG00010008468.1,EPPK1,9.024
ENSGALG00010008469.1,NOCT,26
ENSGALG00010008473.1,CSMD3,3
ENSGALG00010008474.1,ENSGALG00010008474.1,18
ENSGALG00010008476.1,RNF166,57
ENSGALG00010008478.1,ENSGALG00010008478.1,0
ENSGALG00010008486.1,CTU2,55
ENSGALG00010008488.1,CCSER1,0
ENSGALG00010008492.1,ANKRD49,2
ENSGALG00010008494.1,ENSGALG00010008494.1,0
ENSGALG00010008496.1,ENSGALG00010008496.1,0
ENSGALG00010008497.1,PAM,3
ENSGALG00010008498.1,ENSGALG00010008498.1,821.976
ENSGALG00010008500.1,ENSGALG00010008500.1,10
ENSGALG00010008501.1,ENSGALG00010008501.1,0
ENSGALG00010008504.1,RNF139,12
ENSGALG00010008505.1,PTPN3,0
ENSGALG00010008508.1,ENSGALG00010008508.1,2.227
ENSGALG00010008509.1,MGARP,2
ENSGALG00010008510.1,ATOH1,0
ENSGALG00010008511.1,ENSGALG00010008511.1,0
ENSGALG00010008514.1,PIEZO1,48
ENSGALG00010008515.1,TAFA5,0
ENSGALG00010008516.1,MRE11,5
ENSGALG00010008522.1,NUDT12,0
ENSGALG00010008525.1,ENSGALG00010008525.1,0
ENSGALG00010008527.1,CHUK,88
ENSGALG00010008528.1,ENSGALG00010008528.1,0
ENSGALG00010008529.1,GPR83,0
ENSGALG00010008533.1,ENSGALG00010008533.1,5.469
ENSGALG00010008534.1,RAB33B,0
ENSGALG00010008542.1,MOCOS,0
ENSGALG00010008561.1,EEF1D,210
ENSGALG00010008563.1,ENSGALG00010008563.1,0
ENSGALG00010008580.1,PANX1,0
ENSGALG00010008588.1,PYCR3,0
ENSGALG00010008592.1,KIAA0513,9
ENSGALG00010008593.1,ENSGALG00010008593.1,1.291
ENSGALG00010008596.1,ENSGALG00010008596.1,0
ENSGALG00010008616.1,ENSGALG00010008616.1,0
ENSGALG00010008618.1,EIF4EBP3,1150
ENSGALG00010008619.1,ENSGALG00010008619.1,0
ENSGALG00010008623.1,TRPS1,3
ENSGALG00010008636.1,AGTPBP1,0
ENSGALG00010008637.1,RGS7,2
ENSGALG00010008641.1,HEPHL1,0
ENSGALG00010008647.1,ENSGALG00010008647.1,0
ENSGALG00010008653.1,ENSGALG00010008653.1,1
ENSGALG00010008656.1,CCDC6,27
ENSGALG00010008658.1,TSTA3,0
ENSGALG00010008664.1,TM4SF1a,0
ENSGALG00010008666.1,SLC16A9,2
ENSGALG00010008668.1,ENSGALG00010008668.1,0
ENSGALG00010008674.1,RXFP1,0
ENSGALG00010008683.1,SLC4A9,0
ENSGALG00010008686.1,ENSGALG00010008686.1,0
ENSGALG00010008687.1,ENSGALG00010008687.1,0
ENSGALG00010008688.1,HBEGF,0
ENSGALG00010008690.1,YIF1B,11
ENSGALG00010008693.1,C4orf46,17
ENSGALG00010008694.1,ENSGALG00010008694.1,0
ENSGALG00010008696.1,PFN4,0
ENSGALG00010008699.1,NAA35,4
ENSGALG00010008700.1,ENSGALG00010008700.1,2
ENSGALG00010008703.1,ENSGALG00010008703.1,1.6
ENSGALG00010008708.1,ZC3H4,22.713
ENSGALG00010008715.1,ENSGALG00010008715.1,0
ENSGALG00010008716.1,TATDN1,2
ENSGALG00010008723.1,ENSGALG00010008723.1,1.6
ENSGALG00010008729.1,TMEM254,2
ENSGALG00010008731.1,NDUFB9,17
ENSGALG00010008735.1,ENSGALG00010008735.1,0
ENSGALG00010008736.1,ENSGALG00010008736.1,1.6
ENSGALG00010008739.1,VSTM5,0
ENSGALG00010008745.1,GRAMD4,0
ENSGALG00010008750.1,PFDN1,3
ENSGALG00010008752.1,GOLM1,26
ENSGALG00010008756.1,ITSN2,138
ENSGALG00010008762.1,SAE1,24.288
ENSGALG00010008763.1,ENSGALG00010008763.1,0
ENSGALG00010008764.1,ETFDH,0
ENSGALG00010008768.1,PRXL2C,5
ENSGALG00010008773.1,ENSGALG00010008773.1,0
ENSGALG00010008775.1,MED17,33
ENSGALG00010008777.1,HSD17B3,0
ENSGALG00010008780.1,KARS1,79.976
ENSGALG00010008782.1,CCDC9,4
ENSGALG00010008790.1,GPN1,35
ENSGALG00010008793.1,C11orf54,0
ENSGALG00010008799.1,ENSGALG00010008799.1,27.415
ENSGALG00010008807.1,BRD1,53
ENSGALG00010008811.1,TERF2IP,73.024
ENSGALG00010008814.1,ENSGALG00010008814.1,0
ENSGALG00010008821.1,ENSGALG00010008821.1,13
ENSGALG00010008824.1,GREM2,0
ENSGALG00010008825.1,PPID,0
ENSGALG00010008827.1,ENSGALG00010008827.1,22.679
ENSGALG00010008830.1,DHX34,18
ENSGALG00010008832.1,MTSS1,9
ENSGALG00010008837.1,ENSGALG00010008837.1,4
ENSGALG00010008839.1,ZNF512,79
ENSGALG00010008840.1,ENSGALG00010008840.1,0
ENSGALG00010008846.1,SLC35D2,0
ENSGALG00010008850.1,CYSTM1,0
ENSGALG00010008852.1,KHDRBS3,0
ENSGALG00010008859.1,ENSGALG00010008859.1,1
ENSGALG00010008860.1,SQLE,10
ENSGALG00010008861.1,ENSGALG00010008861.1,1.426
ENSGALG00010008862.1,ZNF367,0
ENSGALG00010008864.1,ADAT1,20
ENSGALG00010008866.1,WASHC5,0
ENSGALG00010008870.1,ENSGALG00010008870.1,0
ENSGALG00010008871.1,PRR7,0
ENSGALG00010008877.1,FNDC4,63
ENSGALG00010008879.1,HABP4,0
ENSGALG00010008880.1,FMN2,2.001
ENSGALG00010008882.1,ENSGALG00010008882.1,6.521
ENSGALG00010008884.1,FAM135B,0
